"species_id","species_name"
"SP001","Detritus"
"SP002","S112"
"SP003","S48"
"SP004","S96"
"SP005","S97"
"SP006","S98"
"SP007","S99"
"SP008","S77"
"SP009","Microalgae"
"SP010","S93"
"SP011","S94"
"SP012","S95"
"SP013","S67"
"SP014","S62"
"SP015","Macroalgae"
"SP016","Zooplankton"
"SP017","S50"
"SP018","S55"
"SP019","S82"
"SP020","Phytoplankton"
"SP021","S66"
"SP022","S43"
"SP023","S92"
"SP024","S44"
"SP025","S100"
"SP026","S84"
"SP027","S103"
"SP028","S65"
"SP029","S56"
"SP030","S86"
"SP031","S107"
"SP032","S57"
"SP033","S64"
"SP034","S72"
"SP035","S80"
"SP036","S87"
"SP037","S78"
"SP038","S85"
"SP039","S109"
"SP040","S91"
"SP041","S71"
"SP042","S5"
"SP043","S12"
"SP044","S22"
"SP045","S23"
"SP046","S32"
"SP047","S39"
"SP048","S40"
"SP049","S10"
"SP050","S26"
"SP051","S24"
"SP052","S20"
"SP053","S3"
"SP054","S16"
"SP055","S4"
"SP056","S6"
"SP057","S7"
"SP058","S33"
"SP059","S27"
"SP060","S21"
"SP061","S52"
"SP062","S13"
"SP063","S14"
"SP064","S15"
"SP065","S19"
"SP066","S25"
"SP067","S30"
"SP068","S34"
"SP069","S35"
"SP070","S61"
"SP071","S37"
"SP072","S1"
"SP073","S28"
"SP074","S9"
"SP075","S8"
"SP076","S11"
"SP077","S36"
"SP078","S2"
"SP079","S29"
"SP080","S17"
"SP081","S58"
"SP082","S114"
"SP083","S76"
"SP084","S47"
"SP085","S68"
"SP086","S73"
"SP087","S110"
"SP088","S108"
"SP089","S83"
"SP090","S54"
"SP091","S90"
"SP092","S45"
"SP093","S104"
"SP094","S113"
"SP095","S105"
"SP096","S69"
"SP097","S60"
"SP098","S63"
"SP099","S89"
"SP100","S49"
"SP101","S102"
"SP102","S31"
"SP103","S59"
"SP104","S106"
"SP105","S41"
"SP106","S70"
"SP107","S42"
"SP108","S46"
"SP109","S79"
"SP110","S51"
"SP111","S53"
"SP112","S38"
"SP113","S74"
"SP114","S75"
"SP115","S101"
"SP116","S81"
"SP117","S18"
"SP118","S88"
"SP119","S111"
